,Release Date,Season,Episode,Episode Title,Name,Sentence,Emotion Label
40,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Father will know if you do.,neutral
41,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die.",sadness
42,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,You did well.,neutral
43,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,You understand why I did it?,surprise
44,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Jon said he was a deserter.,disgust
45,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,But do you understand why I had to kill him?,anger
46,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Our way is the old way?,neutral
47,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,The man who passes the sentence should swing the sword.,anger
48,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Is it true he saw the White Walkers?,surprise
49,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,The White Walkers have been gone for thousands of years.,neutral
50,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,So he was lying?,surprise
51,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,A madman sees what he sees.,anger
52,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,What is it?,surprise
53,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,Mountain lion?,neutral
54,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,There are no mountain lions in these woods.,neutral
55,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,It's a freak.,disgust
56,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,It's a direwolf.,disgust
57,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Tough old beast.,disgust
58,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,There are no direwolves south of the Wall.,neutral
59,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Now there are five.,neutral
60,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,You want to hold it?,anger
61,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Where will they go? Their mother's dead.,sadness
62,2011-04-17,Season 1,Episode 1,Winter is Coming,cassel,They don't belong down here.,neutral
63,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Better a quick death. They won't last without their mother.,neutral
64,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,Right. Give it here.,neutral
65,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,NO!,anger
66,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,Put away your blade.,anger
67,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,"I take orders from your father, not you.",anger
68,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,"Please, father!",anger
69,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"I'm sorry, Bran.",sadness
70,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.,neutral
71,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves.",anger
72,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,What about you?,surprise
73,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,I'm not a Stark. Get on.,anger
74,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,What is it?,surprise
75,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,"The runt of the litter. That one's yours, Snow.",neutral
76,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"As your brother, I feel it's my duty to warn you",fear
77,2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,"And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid.",fear
78,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"There was nothing to be afraid of until you told father. [In a whisper, mimicking] We're Lannisters. Lannisters don't act like fools.",fear
79,2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,What if Jon Arryn told someone?,anger
80,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,But who would he tell?,neutral
81,2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,My husband.,sadness
82,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on.",anger
83,2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,You should be the Hand of the king.,disgust
84,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"That's an honor I can do without. Their days are too long, their lives are too short.",neutral
85,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,All these years and I still feel like an outsider when I come here.,neutral
86,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,You have five northern children. You're not an outsider.,neutral
87,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,I wonder if the old gods agree.,surprise
88,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,It's your gods with all the rules.,neutral
89,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"I am so sorry, my love.",sadness
90,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Tell me.,neutral
91,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.,sadness
92,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Your sister. The boy …,neutral
93,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.,neutral
94,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"He's coming this far North, there's only one thing he's after.",neutral
95,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"You can always say no, Ned.",neutral
96,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.,neutral
97,2011-04-17,Season 1,Episode 1,Winter is Coming,maester luwin,I'm told he drinks all night.,neutral
98,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,How much could he possibly drink? A man of his … stature.,surprise
99,2011-04-17,Season 1,Episode 1,Winter is Coming,luwin,We've brought up eight barrels of ale from the cellar. Perhaps we'll find out.,neutral
100,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"In any case, candles.",neutral
101,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Why's your mother so dead-set on us getting pretty for the king?,anger
102,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,"It's for the queen, I bet. I hear she's [sleek as a mink?]",disgust
103,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,I hear the prince is a right royal prick.,disgust
104,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,Think of all those southern girls he gets to stab with his right royal prick.,anger
105,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,"Go on, Tommy, shave him good. He's never met a girl he likes better than his own hair.",neutral
106,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"Gods, but they grow fast. [Seeing BRAN on the wall] Brandon!",disgust
107,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,I saw the king! He's got hundreds of people!,surprise
108,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,How many times have I told you,surprise
109,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,But he's coming right now! Down our road!,anger
110,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,I want you to promise me,neutral
111,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,I promise.,neutral
112,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,D'you know what?,surprise
113,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,What?,surprise
114,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,You always look at your feet before you lie. Run and find your father. Tell him the king is close.,neutral
115,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"Where's Arya? Sansa, where's your sister?",neutral
116,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"Hey,, hey, hey, hey. What are you doing with that on? [Pulls off ARYA's helm]",joy
117,2011-04-17,Season 1,Episode 1,Winter is Coming,arya stark,Move!,anger
118,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Your Grace.,neutral
119,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,You've got fat.,disgust
120,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Cat!,surprise
121,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Your Grace.,neutral
122,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Nine years. Why haven't I seen you? Where the hell have you been?,anger
123,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"Guarding the North for you, Your Grace. Winterfell is yours.",neutral
124,2011-04-17,Season 1,Episode 1,Winter is Coming,arya stark,Where's the Imp?,neutral
125,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Will you shut up?,anger
126,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"Who have we here? You must be Robb. My, you're a pretty one. Your name is?",surprise
127,2011-04-17,Season 1,Episode 1,Winter is Coming,arya stark,Arya.,neutral
128,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Ooh. Show us your muscles. You'll be a soldier.,neutral
129,2011-04-17,Season 1,Episode 1,Winter is Coming,arya stark,That's Jaime Lannister. The queen's twin brother.,neutral
130,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Would you please shut up.,anger
131,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,My queen.,disgust
132,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,My queen.,disgust
133,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Take me to your crypt. I want to pay my respects.,sadness
134,2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,"We've been riding for a month, my love. Surely the dead can wait.",neutral
135,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Ned.,neutral
136,2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,Where is our brother? Go find the little beast.,neutral
137,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Tell me about Jon Arryn.,neutral
138,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"One minute he was fine, and then … Burned right through him, whatever it was. I loved that man.",disgust
139,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,We both did.,neutral
140,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"He never had to teach you much, but me … You remember me at 16? All I wanted to do was crack skulls and fuck girls. He showed me what was what.",disgust
141,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Aye.,neutral
142,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"Don't look at me like that. Not his fault I didn't listen. I need you, Ned. Down at Kings Landing. Not up here, where you're no damn use to anybody. Lord Eddard Stark, I would name you the Hand of the king.",anger
143,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,I'm not worthy of the honor.,sadness
144,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"I'm not trying to honor you. I'm trying to get you to run my kingdom while I eat, drink, and whore my way to an early grave. Damn it, Ned, stand up. You helped me win the Iron Throne, now help me keep the damn thing. We were meant to rule together. If your sister had lived, we would have been bound by blood. Well, it's not too late. I have a son, you have a daughter. We'll join our Houses.",anger
145,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,Mmh. It is true what they say about the Northern girls.,disgust
146,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,Did you hear the king's in Winterfell?,surprise
147,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,I did hear something about that.,neutral
148,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,And the queen. And her twin brother. They say that he is the most handsome man in the Seven Kingdoms.,neutral
149,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,And the other brother?,surprise
150,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,The queen has two brothers?,neutral
151,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,There's the pretty one. And there's the clever one.,neutral
152,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,I hear they call him the Imp.,neutral
153,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,I hear he hates that nickname.,disgust
154,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,Oh? I hear he's more than earned it. I hear he's a drunken little lecher into all manner of perversions.,disgust
155,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,Clever girl.,neutral
156,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,"We've been expecting you, Lord Tyrion.",neutral
157,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,Have you?,neutral
158,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,The gods gave me one blessing.,joy
159,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,Don't get up.,anger
160,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,M'lord.,neutral
161,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,"Should I explain to you the meaning of a closed door in a whorehouse, brother?",disgust
162,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"You've much to teach me, no doubt. But our sister craves your attention.",neutral
163,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,"She has odd cravings, our sister.",neutral
164,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"A family trait. Now, the Starks are feasting us at sundown. Don't leave me alone with these people.",disgust
165,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,"I'm sorry, I've begun the feast a bit early. And this is the first of many courses.",sadness
166,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"I thought you might say that. But since we're short on time, Come on, girls. See you at sundown.",neutral
167,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,Close the door!,anger
168,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her.,disgust
169,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,She was my sister. This is where she belongs.,neutral
170,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,She belonged with me.,neutral
171,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"In my dreams, I kill him every night.",fear
172,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"It's done, Your Grace. The Targaryens are gone.",neutral
173,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Not all of them.,neutral
174,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,Daenerys!,surprise
175,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,Daenerys! There's our bride to be! Look – a gift from Illyrio. Touch it. Come on. Feel the fabric. Mmmm. Isn't he a gracious host?,surprise
176,2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,We've been his guests for over a year and he's never asked us for anything.,neutral
177,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,"Illyrio is no fool. He knows I won't forget my friends when I come into my throne. You still slouch. Let me see. You have a woman's body now. I need you to be perfect today. Can you do that for me? You don't want to wake the dragon, do you?",anger
178,2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,No.,neutral
179,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,"When they write the history of my reign, sweet sister, they will say it began today.",neutral
180,2011-04-17,Season 1,Episode 1,Winter is Coming,maid,"It's too hot, my lady.",sadness
181,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,Where is he?,neutral
182,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,The Dothraki are not known for their punctuality.,neutral
183,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,"May I present my honored guests? Viserys of House Targaryen, the third of his name. The rightful King of the Andals and the First Men. And his sister, Daenerys, of the House Targaryen.",joy
184,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,"Do you see how long his hair is? When Dothraki are defeated in combat, they cut off their braid so the whole world can see their shame. Khal Drogo has never been defeated. He's a savage, of course, but he's one of the finest killers alive. And you will be his queen.",disgust
185,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,"Come forward, my dear.",neutral
186,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,Where's he going?,neutral
187,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,The ceremony is over.,joy
188,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,But he didn't say anything. Did he like her?,disgust
189,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,"Trust me, Your Grace. If he didn't like her, we'd know.",fear
190,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,It won't be long now. Soon you will cross the Narrow Sea and take back your father's throne. The people drink secret toasts to your health. They cry out for their true king.,anger
191,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,When will they be married?,neutral
192,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,Soon. The Dothraki never stay still for long.,neutral
193,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,Is it true they lie with their horses?,disgust
194,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,I wouldn't ask Khal Drogo.,neutral
195,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,Do you take me for a fool?,anger
196,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,I take you for a king. Kings lack the caution of common men. My apologies if I've given offense.,anger
197,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,I know how to play a man like Drogo. I give him a queen and he gives me an army.,neutral
198,2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,I don't want to be his queen. I want to go home.,sadness
199,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,"So do I. I want us both to go home. But they took it from us. So tell me, sweet sister, how do we go home?",sadness
200,2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,I don't know.,surprise
201,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,"We go home with an army. With Khal Drogo's army. I would let his whole tribe fuck you, all 40,000 men and their horses too, if that's what it took.",anger
202,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Do you think Joffrey will like me? What if he thinks I'm ugly?,disgust
203,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Then he is the stupidest prince that ever lived.,disgust
204,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,He's so handsome.,neutral
205,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,When would we be married? Soon or do we have to wait?,neutral
206,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Hush now. Your father hasn't even said yes.,disgust
207,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Why would he say no? He'd be the second most powerful man in the kingdoms.,anger
208,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,He'd have to leave home. He'd have to leave me. And so would you.,neutral
209,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,You left your home to come here. And I'd be queen someday. Please make father say yes.,neutral
210,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Sansa…,neutral
211,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,"Please, please. It's the only thing I ever wanted.",sadness
212,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,Is he dead yet?,neutral
213,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Uncle Benjen!,anger
214,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,You got bigger. I rode all day. Didn't want to leave you alone with the Lannisters. Why aren't you at the feast?,surprise
215,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Lady Stark thought it might insult the royal family to seat a bastard in their midst.,anger
216,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,"Well, you're always welcome on the wall. No bastard was ever refused a seat there.",anger
217,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,So take me with you when you go back.,neutral
218,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,Jon…,neutral
219,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,"Father will let me if you ask him, I know he will.",neutral
220,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,The Wall isn't going anywhere.,neutral
221,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,I'm ready to swear your oath.,neutral
222,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,You don't understand what you'd be giving up. We have no families. None of us will ever father sons.,surprise
223,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,I don't care about that.,disgust
224,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,"You might, if you knew what it meant. … I'd better get inside. Rescue your father from his guests. We'll talk later.",neutral
225,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,Your uncle's in the Night's Watch.,neutral
226,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,What're you doing back there?,surprise
227,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,Preparing for a night with your family. I've always wanted to see the Wall.,fear
228,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,You're Tyrion Lannister. The queen's brother?,surprise
229,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,"My greatest accomplishment. You – you're Ned Stark's bastard, aren't you?",disgust
230,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,"Did I offend you? Sorry. You are the bastard, though.",anger
231,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Lord Eddard Stark is my father.,neutral
232,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,"And Lady Stark is not your mother. Making you a bastard. Let me give you some advice, bastard. Never forget what you are. The rest of the world will not. Wear it like armor. Then it can never be used to hurt you.",anger
233,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,What the hell do you know about being a bastard?,anger
234,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,All dwarves are bastards in their fathers' eyes.,disgust
235,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,You at a feast -- It's like a bear in a trap.,disgust
236,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,The boy I beheaded. Did you know him?,disgust
237,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,"Of course I did. Just a lad. But he was tough, Ned. A true Ranger.",neutral
238,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,He was talking madness. Said the Walkers slaughtered his friends.,disgust
239,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen,The two he was with are still missing.,sadness
240,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,A wildling ambush.,fear
